0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,,,,,,,,,,,,,CG18081,,,,,,,,,,,,,,,,,,,,,Xbp1,,,,,,,,arg,,,,,,,,,,,,,,,,,CG31815,,,,,,CG7414,,,,UGP,,,,,,,,,,,,,,,,spt4
,,,,,,,,,,,,,,AnxB10,,,,,,,,,,,,,,,,,,,,,RpS19a,,,,,,,,Snap29,,,,,,,,,,,,,,,,,CR42491,,,,,,CG7627,,,,CG11151,,,,,,,,,,,,,,,,CrebA
,,,,,,,,,,,,,,NTPase,,,,,,,,,,,,,,,,,,,,,CG7920,,,,,,,,Sema1b,,,,,,,,,,,,,,,,,Dic1,,,,,,GstS1,,,,CG30460,,,,,,,,,,,,,,,,CG7461
,,,,,,,,,,,,,,CG12484,,,,,,,,,,,,,,,,,,,,,CG8417,,,,,,,,CG17508,,,,,,,,,,,,,,,,,CG5455,,,,,,Rab7,,,,dl,,,,,,,,,,,,,,,,vig2
,,,,,,,,,,,,,,CG15111,,,,,,,,,,,,,,,,,,,,,CG12171,,,,,,,,Pmm2,,,,,,,,,,,,,,,,,Thiolase,,,,,,CG12171,,,,Cyp9f3,,,,,,,,,,,,,,,,CG14321
,,,,,,,,,,,,,,ND3,,,,,,,,,,,,,,,,,,,,,aph-1,,,,,,,,CG13907,,,,,,,,,,,,,,,,,CG30022,,,,,,ND6,,,,CG7328,,,,,,,,,,,,,,,,Unc-76
,,,,,,,,,,,,,,CG18135,,,,,,,,,,,,,,,,,,,,,Rho1,,,,,,,,CG42542,,,,,,,,,,,,,,,,,CG42342,,,,,,hts,,,,CR40469,,,,,,,,,,,,,,,,Lkb1
,,,,,,,,,,,,,,Glo1,,,,,,,,,,,,,,,,,,,,,betaggt-II,,,,,,,,Arc42,,,,,,,,,,,,,,,,,nolo,,,,,,alpha-Spec,,,,RpL29,,,,,,,,,,,,,,,,trsn
,,,,,,,,,,,,,,betaggt-II,,,,,,,,,,,,,,,,,,,,,rho,,,,,,,,GstD3,,,,,,,,,,,,,,,,,Lmpt,,,,,,loj,,,,colt,,,,,,,,,,,,,,,,CG7840
,,,,,,,,,,,,,,CG3702,,,,,,,,,,,,,,,,,,,,,Adi1,,,,,,,,CG17896,,,,,,,,,,,,,,,,,CG32473,,,,,,fabp,,,,Sesn,,,,,,,,,,,,,,,,CNBP
,,,,,,,,,,,,,,Drgx,,,,,,,,,,,,,,,,,,,,,CG11781,,,,,,,,GCS2beta,,,,,,,,,,,,,,,,,Xrp1,,,,,,SNF4Agamma,,,,Gip,,,,,,,,,,,,,,,,Rab11
,,,,,,,,,,,,,,sick,,,,,,,,,,,,,,,,,,,,,SP2637,,,,,,,,hid,,,,,,,,,,,,,,,,,CG9801,,,,,,Prosbeta1,,,,CG8397,,,,,,,,,,,,,,,,ATP8B
,,,,,,,,,,,,,,ImpL2,,,,,,,,,,,,,,,,,,,,,fabp,,,,,,,,Sh3beta,,,,,,,,,,,,,,,,,DPCoAC,,,,,,Prosbeta3,,,,CG33941,,,,,,,,,,,,,,,,eIF2gamma
,,,,,,,,,,,,,,tud,,,,,,,,,,,,,,,,,,,,,RpL26,,,,,,,,Pak3,,,,,,,,,,,,,,,,,baf,,,,,,CG33056,,,,sktl,,,,,,,,,,,,,,,,ND1
,,,,,,,,,,,,,,GlyS,,,,,,,,,,,,,,,,,,,,,jar,,,,,,,,RpS14a,,,,,,,,,,,,,,,,,CG5590,,,,,,CD98hc,,,,AdSS,,,,,,,,,,,,,,,,Tdc2
,,,,,,,,,,,,,,Act5C,,,,,,,,,,,,,,,,,,,,,Svil,,,,,,,,CG9932,,,,,,,,,,,,,,,,,ifc,,,,,,l(1)G0289,,,,SP1173,,,,,,,,,,,,,,,,Ufc1
,,,,,,,,,,,,,,CG11790,,,,,,,,,,,,,,,,,,,,,pAbp,,,,,,,,CG16817,,,,,,,,,,,,,,,,,RpS19a,,,,,,ND3,,,,ND3,,,,,,,,,,,,,,,,Nsf2
,,,,,,,,,,,,,,UGP,,,,,,,,,,,,,,,,,,,,,CG30022,,,,,,,,CG7834,,,,,,,,,,,,,,,,,Dmtn,,,,,,CG10863,,,,CR43651,,,,,,,,,,,,,,,,sfl
,,,,,,,,,,,,,,Tspo,,,,,,,,,,,,,,,,,,,,,RpL11,,,,,,,,ZnT63C,,,,,,,,,,,,,,,,,CG12171,,,,,,Lamp1,,,,CG10208,,,,,,,,,,,,,,,,CG1090
,,,,,,,,,,,,,,glob1,,,,,,,,,,,,,,,,,,,,,CG15111,,,,,,,,Mgstl,,,,,,,,,,,,,,,,,Tpi,,,,,,Prosalpha5,,,,AANATL2,,,,,,,,,,,,,,,,CG17202
,,,,,,,,,,,,,,CG9331,,,,,,,,,,,,,,,,,,,,,CG1907,,,,,,,,Esyt2,,,,,,,,,,,,,,,,,CG4404,,,,,,CG5567,,,,Fkbp14,,,,,,,,,,,,,,,,CG16985
,,,,,,,,,,,,,,CG6746,,,,,,,,,,,,,,,,,,,,,scramb1,,,,,,,,Adi1,,,,,,,,,,,,,,,,,GlyS,,,,,,Prosbeta6,,,,CG9547,,,,,,,,,,,,,,,,CG42542
,,,,,,,,,,,,,,CG31235,,,,,,,,,,,,,,,,,,,,,CG5991,,,,,,,,MFS16,,,,,,,,,,,,,,,,,CG2034,,,,,,Rel,,,,CG6115,,,,,,,,,,,,,,,,Gyc89Da
,,,,,,,,,,,,,,RpS15Ab,,,,,,,,,,,,,,,,,,,,,Grip84,,,,,,,,cl,,,,,,,,,,,,,,,,,CR32218,,,,,,cl,,,,CAP,,,,,,,,,,,,,,,,CG6617
,,,,,,,,,,,,,,CG1648,,,,,,,,,,,,,,,,,,,,,RpS16,,,,,,,,Ctr1A,,,,,,,,,,,,,,,,,PHGPx,,,,,,CG18081,,,,CG6424,,,,,,,,,,,,,,,,CG5590
,,,,,,,,,,,,,,nolo,,,,,,,,,,,,,,,,,,,,,CG12795,,,,,,,,CG7120,,,,,,,,,,,,,,,,,MSBP,,,,,,beat-IIIc,,,,CG12107,,,,,,,,,,,,,,,,CG5079
,,,,,,,,,,,,,,scu,,,,,,,,,,,,,,,,,,,,,sick,,,,,,,,Su(dx),,,,,,,,,,,,,,,,,CG8507,,,,,,Vps20,,,,beat-IIb,,,,,,,,,,,,,,,,VhaAC45
,,,,,,,,,,,,,,Sap-r,,,,,,,,,,,,,,,,,,,,,Pgk,,,,,,,,Catsup,,,,,,,,,,,,,,,,,Fdh,,,,,,Dys,,,,NFAT,,,,,,,,,,,,,,,,CG2201
,,,,,,,,,,,,,,fok,,,,,,,,,,,,,,,,,,,,,CG13868,,,,,,,,Swip-1,,,,,,,,,,,,,,,,,scyl,,,,,,Nrg,,,,ste24a,,,,,,,,,,,,,,,,CG42806
,,,,,,,,,,,,,,CG4404,,,,,,,,,,,,,,,,,,,,,Sod1,,,,,,,,CAP,,,,,,,,,,,,,,,,,CG4729,,,,,,CG8321,,,,CG7970,,,,,,,,,,,,,,,,Arf79F
,,,,,,,,,,,,,,CG42542,,,,,,,,,,,,,,,,,,,,,RpS21,,,,,,,,PHGPx,,,,,,,,,,,,,,,,,Esyt2,,,,,,CG7272,,,,Mlc-c,,,,,,,,,,,,,,,,spoon
,,,,,,,,,,,,,,cathD,,,,,,,,,,,,,,,,,,,,,Fdx2,,,,,,,,CG3939,,,,,,,,,,,,,,,,,scro,,,,,,Calr,,,,CG42700,,,,,,,,,,,,,,,,Rab3
,,,,,,,,,,,,,,Cpr,,,,,,,,,,,,,,,,,,,,,CG2765,,,,,,,,CG14969,,,,,,,,,,,,,,,,,Inos,,,,,,Cat,,,,RpL9,,,,,,,,,,,,,,,,RpL24
,,,,,,,,,,,,,,CG3764,,,,,,,,,,,,,,,,,,,,,Rab18,,,,,,,,l(3)05822,,,,,,,,,,,,,,,,,Dyrk2,,,,,,Chmp1,,,,cv-c,,,,,,,,,,,,,,,,CG42339
,,,,,,,,,,,,,,AnxB11,,,,,,,,,,,,,,,,,,,,,RpS12,,,,,,,,Mdh1,,,,,,,,,,,,,,,,,RhoGEF2,,,,,,CG8036,,,,Reep1,,,,,,,,,,,,,,,,CG32944
,,,,,,,,,,,,,,CG12262,,,,,,,,,,,,,,,,,,,,,CG8475,,,,,,,,mys,,,,,,,,,,,,,,,,,Nmdmc,,,,,,bai,,,,beta-Man,,,,,,,,,,,,,,,,Drat
,,,,,,,,,,,,,,Pgi,,,,,,,,,,,,,,,,,,,,,CG1998,,,,,,,,Rala,,,,,,,,,,,,,,,,,ens,,,,,,fu12,,,,PH4alphaEFB,,,,,,,,,,,,,,,,l(2)efl
,,,,,,,,,,,,,,CG17691,,,,,,,,,,,,,,,,,,,,,CG18135,,,,,,,,Vps60,,,,,,,,,,,,,,,,,Rpi,,,,,,Pomp,,,,NTPase,,,,,,,,,,,,,,,,Jwa
,,,,,,,,,,,,,,CG31937,,,,,,,,,,,,,,,,,,,,,DOR,,,,,,,,Rack1,,,,,,,,,,,,,,,,,scu,,,,,,Got2,,,,CG42867,,,,,,,,,,,,,,,,Hsp68
,,,,,,,,,,,,,,CG7766,,,,,,,,,,,,,,,,,,,,,CG16743,,,,,,,,Gip,,,,,,,,,,,,,,,,,CG34383,,,,,,CG6084,,,,l(2)gl,,,,,,,,,,,,,,,,Sec61beta
,,,,,,,,,,,,,,CG12163,,,,,,,,,,,,,,,,,,,,,CG16721,,,,,,,,SH3PX1,,,,,,,,,,,,,,,,,CG8036,,,,,,Dad1,,,,Glycogenin,,,,,,,,,,,,,,,,cic
,,,,,,,,,,,,,,CG8176,,,,,,,,,,,,,,,,,,,,,Jafrac1,,,,,,,,HSPC300,,,,,,,,,,,,,,,,,ninaB,,,,,,cer,,,,CG32354,,,,,,,,,,,,,,,,FMRFaR
,,,,,,,,,,,,,,temp,,,,,,,,,,,,,,,,,,,,,wmd,,,,,,,,CG8507,,,,,,,,,,,,,,,,,CG4853,,,,,,capt,,,,atl,,,,,,,,,,,,,,,,baf
,,,,,,,,,,,,,,jar,,,,,,,,,,,,,,,,,,,,,CG17556,,,,,,,,Arpc4,,,,,,,,,,,,,,,,,CG11791,,,,,,CG34423,,,,CG1907,,,,,,,,,,,,,,,,Pfdn5
,,,,,,,,,,,,,,Fdh,,,,,,,,,,,,,,,,,,,,,wun2,,,,,,,,CCT7,,,,,,,,,,,,,,,,,wts,,,,,,CG4404,,,,Cpr,,,,,,,,,,,,,,,,rdgBbeta
,,,,,,,,,,,,,,26-29-p,,,,,,,,,,,,,,,,,,,,,RpS5a,,,,,,,,RpS4,,,,,,,,,,,,,,,,,Dif,,,,,,bdg,,,,CG12926,,,,,,,,,,,,,,,,Nlp
,,,,,,,,,,,,,,CR44417,,,,,,,,,,,,,,,,,,,,,PHGPx,,,,,,,,Spn42Da,,,,,,,,,,,,,,,,,CG2680,,,,,,Hsc70-3,,,,Rgl,,,,,,,,,,,,,,,,CG42376
,,,,,,,,,,,,,,CG11753,,,,,,,,,,,,,,,,,,,,,AdipoR,,,,,,,,capt,,,,,,,,,,,,,,,,,Got2,,,,,,Esyt2,,,,REPTOR,,,,,,,,,,,,,,,,CG9135
,,,,,,,,,,,,,,Thiolase,,,,,,,,,,,,,,,,,,,,,Baldspot,,,,,,,,Gclm,,,,,,,,,,,,,,,,,Doa,,,,,,Inx3,,,,CG8547,,,,,,,,,,,,,,,,zetaCOP
,,,,,,,,,,,,,,bbc,,,,,,,,,,,,,,,,,,,,,spi,,,,,,,,pnut,,,,,,,,,,,,,,,,,CG6983,,,,,,CG17691,,,,mRpL45,,,,,,,,,,,,,,,,CR45845
,,,,,,,,,,,,,,Ent2,,,,,,,,,,,,,,,,,,,,,CG5273,,,,,,,,CG8128,,,,,,,,,,,,,,,,,CG17754,,,,,,SREBP,,,,CG17646,,,,,,,,,,,,,,,,fid
,,,,,,,,,,,,,,Cys,,,,,,,,,,,,,,,,,,,,,scyl,,,,,,,,Arpc5,,,,,,,,,,,,,,,,,SNF4Agamma,,,,,,eIF3k,,,,CG17333,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dif,,,,,,,,,,,,,,,,,,,,,CG7694,,,,,,,,cpa,,,,,,,,,,,,,,,,,Pglym78,,,,,,CG5059,,,,GstT1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Cat,,,,,,,,,,,,,,,,,,,,,CG32039,,,,,,,,Sar1,,,,,,,,,,,,,,,,,AnxB10,,,,,,CG2862,,,,CG5455,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EMC3,,,,,,,,,,,,,,,,,,,,,Ptp10D,,,,,,,,CG11141,,,,,,,,,,,,,,,,,CG10654,,,,,,wkd,,,,Tsf1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,puc,,,,,,,,,,,,,,,,,,,,,BI-1,,,,,,,,CG9577,,,,,,,,,,,,,,,,,L2HGDH,,,,,,sinu,,,,ena,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Shmt2,,,,,,,,,,,,,,,,,,,,,Grx1,,,,,,,,Vps20,,,,,,,,,,,,,,,,,Sar1,,,,,,Prosalpha7,,,,CG9231,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,aralar1,,,,,,,,,,,,,,,,,,,,,cv-2,,,,,,,,cu,,,,,,,,,,,,,,,,,CG14441,,,,,,cpa,,,,CG5191,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,drpr,,,,,,,,,,,,,,,,,,,,,CG4404,,,,,,,,miple2,,,,,,,,,,,,,,,,,AGBE,,,,,,Pax,,,,GstT2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,oys,,,,,,,,,,,,,,,,,,,,,stas,,,,,,,,zip,,,,,,,,,,,,,,,,,oxt,,,,,,Dif,,,,CG13551,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG14441,,,,,,,,,,,,,,,,,,,,,scrib,,,,,,,,CG9391,,,,,,,,,,,,,,,,,GstS1,,,,,,Sesn,,,,CG9932,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG6028,,,,,,,,,,,,,,,,,,,,,l(3)05822,,,,,,,,CR43334,,,,,,,,,,,,,,,,,CG11151,,,,,,Sec61alpha,,,,spz,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Eip74EF,,,,,,,,,,,,,,,,,,,,,CD98hc,,,,,,,,Men,,,,,,,,,,,,,,,,,CG6028,,,,,,ics,,,,CG33056,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG7461,,,,,,,,,,,,,,,,,,,,,InR,,,,,,,,CG3662,,,,,,,,,,,,,,,,,stck,,,,,,coro,,,,CG12768,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RhoGEF2,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,Chmp1,,,,,,,,,,,,,,,,,CG7231,,,,,,kune,,,,Aprt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,fru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RpL22,,,,,,,,,,,,,,,,,CG17841,,,,,,Rpn11,,,,ATP8B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,kuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG13369,,,,,,,,,,,,,,,,,CG14969,,,,,,cni,,,,CG13124,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,noc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baf,,,,,,,,,,,,,,,,,Eno,,,,,,pr,,,,CG7627,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,stck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,imd,,,,,,,,,,,,,,,,,GstT1,,,,,,CG11699,,,,Exn,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG7523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHOp24,,,,,,,,,,,,,,,,,Sec61alpha,,,,,,Shmt2,,,,AnxB10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,shn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG18081,,,,,,,,,,,,,,,,,tank,,,,,,CG17841,,,,EMC3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nph,,,,,,,,,,,,,,,,,CG9917,,,,,,LSm7,,,,baf,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG2767,,,,,,,,,,,,,,,,,CG9662,,,,,,AspRS,,,,Pvr,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SREBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GMF,,,,,,,,,,,,,,,,,CG5991,,,,,,CCT3,,,,CrzR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Ac76E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shmt2,,,,,,,,,,,,,,,,,zfh1,,,,,,ras,,,,Lamp1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Efr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spz,,,,,,,,,,,,,,,,,CG8331,,,,,,Eip74EF,,,,ND-MLRQ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG34423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gadd45,,,,,,,,,,,,,,,,,cnc,,,,,,Reep1,,,,CG5758,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG12290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xbp1,,,,,,,,,,,,,,,,,Oscillin,,,,,,CG3008,,,,CG33970,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egh,,,,,,,,,,,,,,,,,Ac76E,,,,,,Non1,,,,CG32103,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Fit1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RpS30,,,,,,,,,,,,,,,,,Nak,,,,,,CG7523,,,,CG11781,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG14969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bif,,,,,,,,,,,,,,,,,cora,,,,,,CG8860,,,,Fdx2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG8507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got2,,,,,,,,,,,,,,,,,Eip93F,,,,,,Pino,,,,noc,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CG17271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dronc,,,,,,,,,,,,,,,,,Nhe3,,,,,,shot,,,,bdg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cv-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG9953,,,,,,,,,,,,,,,,,CG1998,,,,,,CG6523,,,,CG11089,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Eip93F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cnc,,,,,,,,,,,,,,,,,Sap-r,,,,,,CG15715,,,,CG32276,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dh44-R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG7668,,,,,,,,,,,,,,,,,CG6950,,,,,,CG3566,,,,CLS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CR43651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS15,,,,,,,,,,,,,,,,,Sfxn2,,,,,,GEFmeso,,,,eEF2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG8331,,,,,,,,,,,,,,,,,CG5830,,,,,,deltaCOP,,,,CG11699,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,pyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,msn,,,,,,,,,,,,,,,,,cu,,,,,,Dad,,,,CG4572,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Lmpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem1,,,,,,,,,,,,,,,,,Naa60,,,,,,UGP,,,,CG32647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Esyt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eb1,,,,,,,,,,,,,,,,,CG7272,,,,,,Xrp1,,,,CG17029,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scramb2,,,,,,,,,,,,,,,,,CG18081,,,,,,Galt,,,,Rab9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xrp1,,,,,,,,,,,,,,,,,Mgstl,,,,,,ACC,,,,alc,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG13384,,,,,,,,,,,,,,,,,Mitf,,,,,,cact,,,,Mocs1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rab5,,,,,,,,,,,,,,,,,Dscam1,,,,,,CG5862,,,,raw,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arf51F,,,,,,,,,,,,,,,,,Pde11,,,,,,CG32276,,,,CR44029,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG5885,,,,,,,,,,,,,,,,,CG7139,,,,,,CG13751,,,,Catsup,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alt,,,,,,,,,,,,,,,,,alpha-Est9,,,,,,apolpp,,,,bnl,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loj,,,,,,,,,,,,,,,,,Ctl2,,,,,,alpha-Est9,,,,CG15203,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MtnA,,,,,,,,,,,,,,,,,l(3)05822,,,,,,Rpn6,,,,CG44243,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sirup,,,,,,,,,,,,,,,,,CG17271,,,,,,CG15012,,,,CR43459,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG8314,,,,,,,,,,,,,,,,,retm,,,,,,PH4alphaEFB,,,,Gapdh2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyp1,,,,,,,,,,,,,,,,,hid,,,,,,CG4658,,,,foi,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG9669,,,,,,,,,,,,,,,,,CG42542,,,,,,CG5355,,,,CG15706,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cortactin,,,,,,,,,,,,,,,,,CG11537,,,,,,Arpc5,,,,Arpc5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hoip,,,,,,,,,,,,,,,,,CG12107,,,,,,Rpn12,,,,CG6180,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG10916,,,,,,,,,,,,,,,,,NK7.1,,,,,,eIF3g1,,,,Pgi,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG9705,,,,,,,,,,,,,,,,,Pdxk,,,,,,Rpb12,,,,ERp60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drongo,,,,,,,,,,,,,,,,,Pmp70,,,,,,CG12107,,,,VhaAC45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG5377,,,,,,,,,,,,,,,,,Pdi,,,,,,Tak1,,,,Mal-A5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscillin,,,,,,,,,,,,,,,,,CG31751,,,,,,Irk2,,,,Hsc70-4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsf1,,,,,,,,,,,,,,,,,CG7766,,,,,,Snap29,,,,Act79B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prosalpha3,,,,,,,,,,,,,,,,,RpS15Ab,,,,,,Npc2a,,,,Rho1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eca,,,,,,,,,,,,,,,,,Acsl,,,,,,ninaB,,,,PCB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snx3,,,,,,,,,,,,,,,,,Nph,,,,,,CG3760,,,,CG10166,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wbp2,,,,,,,,,,,,,,,,,drpr,,,,,,cora,,,,GCS2beta,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pod1,,,,,,,,,,,,,,,,,,,,,,,Eip93F,,,,CG10932,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bai,,,,,,,,,,,,,,,,,,,,,,,Uch,,,,Ent2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vps29,,,,,,,,,,,,,,,,,,,,,,,Arpc1,,,,Asph,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGO2,,,,,,,,,,,,,,,,,,,,,,,eIF2beta,,,,CG33169,,,,,,,,,,,,,,,,
